repo	file	template_sha12	failure_mode
litert-community/Shieldstral-1.0-3B	Shieldstral-1.0-3B-vision_int4_gpu.litertlm	f6fd91f40fe0	S-DROP
litert-community/SmolLM3-3B	SmolLM3-3B_q4_block32_ekv4096.litertlm	bf70278ec779	S-LEAK
litert-community/Spark-X2.5-1.7B	Spark-X2.5-1.7B_int4.litertlm	03ce4a8a122f	S-RAISE
litert-community/Spark-X2.5-1.7B	Spark-X2.5-1.7B_int8.litertlm	03ce4a8a122f	S-RAISE
litert-community/Spark-X2.5-4B	Spark-X2.5-4B_int4.litertlm	03ce4a8a122f	S-RAISE
litert-community/Spark-X2.5-4B	Spark-X2.5-4B_int8.litertlm	03ce4a8a122f	S-RAISE
litert-community/VibeThinker-3B	model.litertlm	460cb42fdd40	S-LEAK
litert-community/Zamba2-1.2B-instruct	Zamba2-1.2B-instruct_int8.litertlm	153280e3ff55	S-RAISE
litert-community/Zamba2-2.7B-instruct	Zamba2-2.7B-instruct_int8.litertlm	153280e3ff55	S-RAISE
mlboydaisuke/Falcon3-3B-Instruct-LiteRT	model.litertlm	914ccd80356f	S-RAISE
mlboydaisuke/Llama-3.2-3B-Instruct-LiteRT	model.litertlm	16a45cbae34d	S-LEAK
mlboydaisuke/MiniCPM5-2B-LiteRT	MiniCPM5-2B_int4.litertlm	cc945752db55	S-DROP
mlboydaisuke/MiniCPM5-2B-LiteRT	MiniCPM5-2B_int8.litertlm	cc945752db55	S-DROP
mlboydaisuke/Ministral-3-3B-Instruct-2512-LiteRT	model.litertlm	252148ee7e54	S-LEAK
mlboydaisuke/Mordant-3B-Think-LiteRT	Mordant-3B-Think_int8.litertlm	34733eac69ed	S-LEAK
mlboydaisuke/Qwen2.5-3B-Instruct-LiteRT	model.litertlm	369c53d3ab00	S-LEAK
mlboydaisuke/Qwen3-0.6B-Code-Expert-LiteRT	model.litertlm	8428c815ac94	S-RAISE
mlboydaisuke/Qwen3-0.6B-LiteRT-gpu-composites	Qwen3-0.6B_dynamic_wi4b32_afp32_11flags.litertlm	4155a0aa5616	S-DROP
mlboydaisuke/Qwen3-0.6B-LiteRT-gpu-composites	Qwen3-0.6B_dynamic_wi4b32_afp32_9flags.litertlm	4155a0aa5616	S-DROP
mlboydaisuke/Qwen3-0.6B-LiteRT-gpu-composites	Qwen3-0.6B_dynamic_wi4b32_afp32_9flags_rope.litertlm	4155a0aa5616	S-DROP
mlboydaisuke/Qwen3-1.7B-LiteRT	model.litertlm	a55ee1b16601	S-DROP
mlboydaisuke/Qwen3-4B-LiteRT-gpu-composites	Qwen3-4B_dynamic_wi4b32_afp32_11flags.litertlm	4155a0aa5616	S-DROP
mlboydaisuke/Qwen3-4B-LiteRT-gpu-composites	Qwen3-4B_dynamic_wi4b32_afp32_9flags.litertlm	4155a0aa5616	S-DROP
mlboydaisuke/Qwen3.5-0.8B-MTP-repro-LiteRT	Qwen3.5-0.8B_mtp_drafter_int8.litertlm	b3f69d650a63	S-LEAK
mlboydaisuke/S1-mini-LiteRT	S1-mini_int8.litertlm	4cca9d116922	S-RAISE
mlboydaisuke/SmolLM3-3B-LiteRT	model.litertlm	c6b463e0706d	S-LEAK
mlboydaisuke/TwIL-LM3-LiteRT	TwIL-LM3_int4.litertlm	4bd85b95399f	S-LEAK
